Scenario,Method,Baseline_F1,Poisoned_F1,F1_Score,Recovery,AUC,Time,Forgetting_Effectiveness
10% Label Noise,Retraining,0.7476635514018691,0.72840790842872,0.7512899896800825,0.022882081251362485,0.8450465951001054,0.1578989028930664,
10% Label Noise,SISA,0.7476635514018691,0.72840790842872,0.7541322314049587,0.02572432297623861,0.8744155031612224,0.2621495723724365,
10% Label Noise,Gradient Ascent,0.7476635514018691,0.72840790842872,0.7613168724279835,0.03290896399926346,0.8316772589567967,0.5823390483856201,
10% Label Noise,AMDU,0.7476635514018691,0.72840790842872,0.7739307535641547,0.0455228451354347,0.8874390806111696,6.628759860992432,0.0009557604789733887
20% Label Noise,Retraining,0.7476635514018691,0.7423312883435583,0.7481865284974093,0.005855240153850971,0.8541104122760801,0.02620220184326172,
20% Label Noise,SISA,0.7476635514018691,0.7423312883435583,0.759545923632611,0.01721463528905265,0.9134821193361432,0.9748995304107666,
20% Label Noise,Gradient Ascent,0.7476635514018691,0.7423312883435583,0.7638603696098563,0.021529081266297934,0.8959760273972602,0.5869748592376709,
20% Label Noise,AMDU,0.7476635514018691,0.7423312883435583,0.7919597989949749,0.0496285106514166,0.8336694876185459,5.353510856628418,0.00467073917388916
15% Feature Noise,Retraining,0.7476635514018691,0.7440414507772021,0.741503604531411,-0.00253784624579112,0.8530690200210747,0.882988452911377,
15% Feature Noise,SISA,0.7476635514018691,0.7440414507772021,0.7577639751552795,0.013722524378077416,0.8812113079557429,3.4655706882476807,
15% Feature Noise,Gradient Ascent,0.7476635514018691,0.7440414507772021,0.7404343329886246,-0.003607117788577474,0.8424492887249736,0.8458092212677002,
15% Feature Noise,AMDU,0.7476635514018691,0.7440414507772021,0.7676560900716479,0.02361463929444585,0.878986515410959,5.7234251499176025,0.02883899211883545
